"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","5421","OHRM_LOGIN_TC_009 - Đăng nhập thất bại và bảo mật trước SQL Injection trên trường Username","webkit","Wed May 27 21:06:07 UTC 2026","passed","Wed May 27 21:06:12 UTC 2026","OrangeHRM - Login Module Tests","auth/login.spec.ts","",""
"","5586","OHRM_LOGIN_TC_001 - Đăng nhập thành công với Username và Password hợp lệ","chromium","Wed May 27 21:09:46 UTC 2026","passed","Wed May 27 21:09:51 UTC 2026","OrangeHRM - Login Module Tests","auth/login.spec.ts","",""
"","2397","OHRM_LOGIN_TC_008 - Xác thực trường Password ẩn ký tự khi người dùng nhập dữ liệu","firefox","Wed May 27 21:05:52 UTC 2026","passed","Wed May 27 21:05:54 UTC 2026","OrangeHRM - Login Module Tests","auth/login.spec.ts","",""
"","5347","OHRM_LOGIN_TC_019 - Kiểm tra bảo mật SQL Injection trên trường Username ở trang Reset Password","firefox","Wed May 27 21:05:22 UTC 2026","passed","Wed May 27 21:05:28 UTC 2026","OrangeHRM - Forgot Password Module Tests","auth/forgot-password.spec.ts","",""
"","5669","OHRM_LOGIN_TC_016 - Gửi yêu cầu đặt lại mật khẩu thất bại khi bỏ trống trường Username","webkit","Wed May 27 21:05:13 UTC 2026","passed","Wed May 27 21:05:18 UTC 2026","OrangeHRM - Forgot Password Module Tests","auth/forgot-password.spec.ts","",""
"","4104","OHRM_LOGIN_TC_011 - Đăng nhập thất bại khi nhập Username chỉ chứa khoảng trắng","webkit","Wed May 27 21:06:12 UTC 2026","passed","Wed May 27 21:06:16 UTC 2026","OrangeHRM - Login Module Tests","auth/login.spec.ts","",""
"","2530","OHRM_LOGIN_TC_004 - Đăng nhập thất bại khi để trống cả hai trường Username và Password","firefox","Wed May 27 21:05:37 UTC 2026","passed","Wed May 27 21:05:40 UTC 2026","OrangeHRM - Login Module Tests","auth/login.spec.ts","",""
"","6212","OHRM_LOGIN_TC_018 - Gửi yêu cầu đặt lại mật khẩu với Username không tồn tại trong hệ thống","webkit","Wed May 27 21:05:18 UTC 2026","passed","Wed May 27 21:05:25 UTC 2026","OrangeHRM - Forgot Password Module Tests","auth/forgot-password.spec.ts","",""
"","4037","OHRM_LOGIN_TC_012 - Đăng nhập với Username có độ dài cực lớn (256 ký tự)","firefox","Wed May 27 21:06:05 UTC 2026","passed","Wed May 27 21:06:09 UTC 2026","OrangeHRM - Login Module Tests","auth/login.spec.ts","",""
"","5020","OHRM_LOGIN_TC_012 - Đăng nhập với Username có độ dài cực lớn (256 ký tự)","chromium","Wed May 27 21:10:32 UTC 2026","passed","Wed May 27 21:10:38 UTC 2026","OrangeHRM - Login Module Tests","auth/login.spec.ts","",""
