"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","4051","OHRM_LOGIN_TC_016 - Gửi yêu cầu đặt lại mật khẩu thất bại khi bỏ trống trường Username","webkit","Wed May 27 20:56:24 UTC 2026","passed","Wed May 27 20:56:28 UTC 2026","OrangeHRM - Forgot Password Module Tests","auth/forgot-password.spec.ts","",""
"","2989","OHRM_LOGIN_TC_009 - Đăng nhập thất bại và bảo mật trước SQL Injection trên trường Username","chromium","Wed May 27 20:54:30 UTC 2026","passed","Wed May 27 20:54:33 UTC 2026","OrangeHRM - Login Module Tests","auth/login.spec.ts","",""
"","3462","OHRM_LOGIN_TC_005 - Đăng nhập thất bại khi nhập Username đúng nhưng Password sai","chromium","Wed May 27 20:54:18 UTC 2026","passed","Wed May 27 20:54:21 UTC 2026","OrangeHRM - Login Module Tests","auth/login.spec.ts","",""
"","3871","OHRM_LOGIN_TC_010 - Đăng nhập thất bại và bảo mật trước XSS Injection trên trường Username","webkit","Wed May 27 20:57:11 UTC 2026","passed","Wed May 27 20:57:15 UTC 2026","OrangeHRM - Login Module Tests","auth/login.spec.ts","",""
"","4933","OHRM_LOGIN_TC_014 - Điều hướng thành công sang trang Reset Password qua link ""Forgot your password?""","firefox","Wed May 27 20:54:54 UTC 2026","passed","Wed May 27 20:54:59 UTC 2026","OrangeHRM - Forgot Password Module Tests","auth/forgot-password.spec.ts","",""
"","10971","OHRM_LOGIN_TC_022 - Kiểm tra các liên kết mạng xã hội hoạt động chính xác","firefox","Wed May 27 20:56:12 UTC 2026","passed","Wed May 27 20:56:23 UTC 2026","OrangeHRM - Login Module Tests","auth/login.spec.ts","",""
"","2652","OHRM_LOGIN_TC_002 - Đăng nhập thất bại khi bỏ trống trường Username","firefox","Wed May 27 20:55:27 UTC 2026","passed","Wed May 27 20:55:30 UTC 2026","OrangeHRM - Login Module Tests","auth/login.spec.ts","",""
"","3154","OHRM_LOGIN_TC_010 - Đăng nhập thất bại và bảo mật trước XSS Injection trên trường Username","chromium","Wed May 27 20:54:33 UTC 2026","passed","Wed May 27 20:54:36 UTC 2026","OrangeHRM - Login Module Tests","auth/login.spec.ts","",""
"","4421","OHRM_LOGIN_TC_013 - Đăng nhập thất bại khi nhập Username viết thường hoàn toàn (admin)","chromium","Wed May 27 20:54:42 UTC 2026","passed","Wed May 27 20:54:46 UTC 2026","OrangeHRM - Login Module Tests","auth/login.spec.ts","",""
"","3404","OHRM_LOGIN_TC_011 - Đăng nhập thất bại khi nhập Username chỉ chứa khoảng trắng","webkit","Wed May 27 20:57:15 UTC 2026","passed","Wed May 27 20:57:18 UTC 2026","OrangeHRM - Login Module Tests","auth/login.spec.ts","",""
"","3364","OHRM_LOGIN_TC_003 - Đăng nhập thất bại khi bỏ trống trường Password","webkit","Wed May 27 20:56:46 UTC 2026","passed","Wed May 27 20:56:49 UTC 2026","OrangeHRM - Login Module Tests","auth/login.spec.ts","",""
"","5887","OHRM_LOGIN_TC_015 - Hủy bỏ yêu cầu đặt lại mật khẩu và quay lại trang Login","firefox","Wed May 27 20:55:08 UTC 2026","passed","Wed May 27 20:55:14 UTC 2026","OrangeHRM - Forgot Password Module Tests","auth/forgot-password.spec.ts","",""
"","2303","OHRM_LOGIN_TC_003 - Đăng nhập thất bại khi bỏ trống trường Password","chromium","Wed May 27 20:54:13 UTC 2026","passed","Wed May 27 20:54:15 UTC 2026","OrangeHRM - Login Module Tests","auth/login.spec.ts","",""
"","4548","OHRM_LOGIN_TC_019 - Kiểm tra bảo mật SQL Injection trên trường Username ở trang Reset Password","firefox","Wed May 27 20:55:18 UTC 2026","passed","Wed May 27 20:55:23 UTC 2026","OrangeHRM - Forgot Password Module Tests","auth/forgot-password.spec.ts","",""
"","4131","OHRM_LOGIN_TC_009 - Đăng nhập thất bại và bảo mật trước SQL Injection trên trường Username","firefox","Wed May 27 20:55:49 UTC 2026","passed","Wed May 27 20:55:53 UTC 2026","OrangeHRM - Login Module Tests","auth/login.spec.ts","",""
"","3731","OHRM_LOGIN_TC_015 - Hủy bỏ yêu cầu đặt lại mật khẩu và quay lại trang Login","chromium","Wed May 27 20:53:53 UTC 2026","passed","Wed May 27 20:53:57 UTC 2026","OrangeHRM - Forgot Password Module Tests","auth/forgot-password.spec.ts","",""
"","4048","OHRM_LOGIN_TC_007 - Đăng nhập thất bại khi nhập sai cả Username và Password","webkit","Wed May 27 20:57:00 UTC 2026","passed","Wed May 27 20:57:04 UTC 2026","OrangeHRM - Login Module Tests","auth/login.spec.ts","",""
"","5327","OHRM_LOGIN_TC_013 - Đăng nhập thất bại khi nhập Username viết thường hoàn toàn (admin)","firefox","Wed May 27 20:56:03 UTC 2026","passed","Wed May 27 20:56:09 UTC 2026","OrangeHRM - Login Module Tests","auth/login.spec.ts","",""
"","3342","OHRM_LOGIN_TC_014 - Điều hướng thành công sang trang Reset Password qua link ""Forgot your password?""","chromium","Wed May 27 20:53:53 UTC 2026","passed","Wed May 27 20:53:56 UTC 2026","OrangeHRM - Forgot Password Module Tests","auth/forgot-password.spec.ts","",""
"","3118","OHRM_LOGIN_TC_020 - Kiểm tra tính hiển thị của Logo và thông tin phiên bản hệ thống","webkit","Wed May 27 20:57:22 UTC 2026","passed","Wed May 27 20:57:25 UTC 2026","OrangeHRM - Login Module Tests","auth/login.spec.ts","",""
"","2561","OHRM_LOGIN_TC_008 - Xác thực trường Password ẩn ký tự khi người dùng nhập dữ liệu","firefox","Wed May 27 20:55:46 UTC 2026","passed","Wed May 27 20:55:49 UTC 2026","OrangeHRM - Login Module Tests","auth/login.spec.ts","",""
"","2953","OHRM_LOGIN_TC_002 - Đăng nhập thất bại khi bỏ trống trường Username","webkit","Wed May 27 20:56:43 UTC 2026","passed","Wed May 27 20:56:46 UTC 2026","OrangeHRM - Login Module Tests","auth/login.spec.ts","",""
"","2289","OHRM_LOGIN_TC_008 - Xác thực trường Password ẩn ký tự khi người dùng nhập dữ liệu","chromium","Wed May 27 20:54:28 UTC 2026","passed","Wed May 27 20:54:30 UTC 2026","OrangeHRM - Login Module Tests","auth/login.spec.ts","",""
"","4179","OHRM_LOGIN_TC_005 - Đăng nhập thất bại khi nhập Username đúng nhưng Password sai","webkit","Wed May 27 20:56:52 UTC 2026","passed","Wed May 27 20:56:56 UTC 2026","OrangeHRM - Login Module Tests","auth/login.spec.ts","",""
"","3509","OHRM_LOGIN_TC_012 - Đăng nhập với Username có độ dài cực lớn (256 ký tự)","chromium","Wed May 27 20:54:38 UTC 2026","passed","Wed May 27 20:54:42 UTC 2026","OrangeHRM - Login Module Tests","auth/login.spec.ts","",""
"","3864","OHRM_LOGIN_TC_009 - Đăng nhập thất bại và bảo mật trước SQL Injection trên trường Username","webkit","Wed May 27 20:57:07 UTC 2026","passed","Wed May 27 20:57:11 UTC 2026","OrangeHRM - Login Module Tests","auth/login.spec.ts","",""
"","2692","OHRM_LOGIN_TC_011 - Đăng nhập thất bại khi nhập Username chỉ chứa khoảng trắng","firefox","Wed May 27 20:55:57 UTC 2026","passed","Wed May 27 20:55:59 UTC 2026","OrangeHRM - Login Module Tests","auth/login.spec.ts","",""
